場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2023-12-29,家族,林檎がまるみえアップル,りんご,果物,200,2,172,246
イオン,2023-12-29,家族,コマツナ80%↓,小松菜,野菜,80,1,4,82
イオン,2023-12-29,家族,くちなしの実188%J,くちなし,調味料,188,1,10,192
イオン,2023-12-31,家族,シーチキンNew,シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,オイル不使用マイルド,シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,素材マイルド4缶,シーチキン シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,QPマヨネーズ,マヨネーズ,調味料,198,4,0,855
イオン,2023-12-31,家族,湯たこ,たこ,魚類,824,1,0,890
イオン,2023-12-31,家族,ピリ辛れんこん天,れんこん,野菜,198,2,198,214
イオン,2023-12-31,家族,TV海藻加工品,海藻,魚類,178,1,89,96
イオン,2023-12-31,家族,とろける生とうふ,豆腐,加工品,198,1,99,107
イオン,2023-12-31,家族,ぶなしめじ,ぶなしめじ,野菜,98,1,0,106
イオン,2023-12-31,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,1,0,203
イオン,2023-12-31,家族,ドレッシング,ドレッシング,調味料,298,1,0,322
イオン,2023-12-31,家族,ミニトマト,トマト,野菜,198,1,0,214
イオン,2023-12-31,家族,あっさりNカレー,カップ麺,加工品,108,2,0,233
イオン,2023-12-31,家族,あっさりヌードル,カップ麺,加工品,108,1,0,117
イオン,2023-12-31,家族,BPクルトン入コー,コーンクリーム,飲み物,228,1,0,246
イオン,2023-12-31,家族,あっさりNシーフード,カップ麺,加工品,108,1,0,117
イオン,2023-12-31,家族,ビッグバッグのりしお,ポテチ,お菓子,248,1,0,268
イオン,2023-12-31,家族,BP国産小麦使用うどん,うどん,主食,78,1,0,84
イオン,2023-12-31,家族,QPマヨネーズ,マヨネーズ,調味料,198,4,0,855
イオン,2023-12-31,家族,オイル不使用マイルド,シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,シーチキンNew,シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,素材マイルド4缶,シーチキン,加工品,428,1,0,462
イオン,2023-12-31,家族,ヤツガシラ,ヤツガシラ,野菜,600,1,0,648
イオン,2023-12-31,家族,うにのようなビヨンド,ビヨンド,加工品,228,2,228,246
イオン,2023-12-31,家族,BP油揚げ,油揚げ,加工品,98,1,20,84
イオン,2023-12-31,家族,エノキタケ,榎茸,野菜,88,1,0,95
イオン,2023-12-31,家族,はくさい,白菜,野菜,40,2,0,86
イオン,2023-12-31,家族,ほうれん草,ほうれん草,野菜,80,1,0,86
FamilyMart,2023-12-31,家族,つぶグミP濃厚ぶどう,ジュース,飲み物,207,1,21,186
吉野家,2023-12-31,家族,かつ丼･小,カツ丼,外食,525,1,0,525
吉野家,2023-12-31,家族,カツ黒カレー,カツカレー,外食,820,1,0,820
吉野家,2023-12-31,家族,カレー黒揚げから,カツカレー,外食,699,1,0,699
吉野家,2023-12-31,家族,牛丼大,牛丼,外食,710,1,0,710
セブン-イレブン,2023-12-31,家族,7Pアｰﾙグレイ無糖600ml*,アールグレイ,飲み物,100,1,0,108
セブン-イレブン,2023-12-31,家族,Pハジメリョクチャシズオカ,緑茶,飲み物,100,2,0,216
セブン-イレブン,2023-12-31,家族,7プレミアムむぎ茶600ml*,麦茶,飲み物,100,1,0,108
セブン-イレブン,2023-12-31,家族,塩むすび,おにぎり,食べ物,100,1,0,108
まかいの牧場,2023-01-01,家族,牛乳,牛乳,飲み物,600,1,140,460
まかいの牧場,2023-01-01,家族,チーズケーキ,チーズケーキ,お菓子,1650,1,0,1650
まかいの牧場,2023-01-01,家族,生ハム,ハム,肉類,740,1,0,740
まかいの牧場,2023-01-01,家族,ブロックベーコン,ベーコン,肉類,1600,2,0,3200
まかいの牧場,2023-01-01,家族,みるくカレー,カレー,レトルト食品,580,1,0,580
まかいの牧場,2023-01-01,家族,富士山溶岩珈琲,珈琲,飲み物,1200,1,0,1200
セブン-イレブン,2023-01-01,家族,ひねり揚げ,ひねり揚げ,お菓子,128,1,0,138
セブン-イレブン,2023-01-01,家族,バニラモナカジャンボ,モナカ,アイス,160,1,0,173
セブン-イレブン,2023-01-01,家族,厚切りポテトスナック,ポテトチップス,お菓子,118,1,0,127
セブン-イレブン,2023-01-01,家族,サラダピーナッツ,サラダピーナッツ,お菓子,118,1,0,127
セブン-イレブン,2023-01-01,家族,えびみりん焼き,みりん焼き,お菓子,118,1,0,127
セブン-イレブン,2023-01-01,家族,アメリカンドック,アメリカンドック,食べ物,128,1,0,138
セブン-イレブン,2023-01-01,家族,肉まん,肉まん,食べ物,149,1,0,161
セブン-イレブン,2023-01-01,家族,アールグレイ,アールグレイ,飲み物,100,1,0,108
セブン-イレブン,2023-01-01,家族,梅おにぎり,おにぎり,食べ物,125,1,0,135
セブン-イレブン,2023-01-01,家族,ツナマヨおにぎり,おにぎり,食べ物,140,1,0,151
イオン,2024-01-03,家族,パリパリバー,パリパリバー,アイス,148,2,0,320
イオン,2024-01-03,家族,アキタ四葉たまご,卵,乳製品,258,1,0,279
イオン,2024-01-03,家族,おかめ極小粒ミニ,納豆,加工品,30,4,0,130
イオン,2024-01-03,家族,BPちくわ,ちくわ,加工品,98,1,20,84
イオン,2024-01-03,家族,"太陽懐石茶碗蒸し1,",茶碗蒸し,加工品,318,5,795,859
イオン,2024-01-03,家族,厚あげ4コ,厚揚げ,加工品,128,2,128,138
イオン,2024-01-03,家族,揚物セット,揚物セット,加工品,198,1,99,107
イオン,2024-01-03,家族,アキタ四葉たまご,卵,乳製品,258,1,0,279
イオン,2024-01-03,家族,ほうれん草,ほうれん草,野菜,100,1,0,108
イオン,2024-01-03,家族,国産もち巾着,餅,主食,148,5,150,637
イオン,2024-01-03,家族,レンコン,れんこん,野菜,120,1,0,130
イオン,2024-01-03,家族,にんじん,人参,野菜,248,1,0,268
イオン,2024-01-03,家族,柿の種チョコ,チョコ,お菓子,100,3,0,324
ローゼン,2024-01-03,家族,ニッシンバヤシメシ,ハヤシメシ,レトルト食品,178,3,0,577
ローゼン,2024-01-03,家族,カレーメシビーフ,カレーメシ,レトルト食品,178,3,0,577
EXCELSIOR,2024-01-04,父,珈琲,珈琲,飲み物,380,1,0,380
イオン,2024-01-04,家族,TVBPごまドレッシ,ごまだれ,調味料,278,1,0,300
イオン,2024-01-04,家族,QP深煎りごまド,ごまだれ,調味料,298,2,0,644
イオン,2024-01-05,家族,牛肉,牛,肉類,443,1,222,239
イオン,2024-01-05,家族,牛肉,牛,肉類,402,2,402,434
イオン,2024-01-05,家族,牛すじ(豪州産),牛,肉類,383,1,192,206
イオン,2024-01-06,家族,BP国産小麦使用うどん,うどん,主食,78,1,0,84
イオン,2024-01-06,家族,マルちゃん焼そば,焼きそば,主食,98,2,0,212
イオン,2024-01-06,家族,フォートアル,アルフォート,お菓子,98,2,0,212
イオン,2024-01-06,家族,鍋八,豆腐,乳製品,138,2,138,149
イオン,2024-01-06,家族,サイズミックス,卵,乳製品,158,1,0,171
イオン,2024-01-06,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,1,0,203
イオン,2024-01-06,家族,人参,人参,野菜,158,2,0,341
イオン,2024-01-06,家族,大根,大根,野菜,198,1,0,214
イオン,2024-01-06,家族,はくさい,白菜,野菜,98,1,0,106
イオン,2024-01-06,家族,伊藤朝フレベーコン,ベーコン,肉類,238,2,0,514
イオン,2024-01-06,家族,バナナ,バナナ,果物,80,1,0,86
イオン,2024-01-06,家族,ぶなしめじ,ぶなしめじ,野菜,98,1,0,106
業務スーパー,2024-01-07,家族,国産いりこ,いりこ,魚類,538,1,0,581
業務スーパー,2024-01-07,家族,つぶあん,あんまん,加工品,338,1,0,365
業務スーパー,2024-01-07,家族,新味創造金時豆,豆,加工品,88,1,0,95
業務スーパー,2024-01-07,家族,新味創造白花豆,豆,加工品,176,1,0,190
業務スーパー,2024-01-07,家族,群馬県産板こん,こんにゃく,野菜,185,1,0,200
業務スーパー,2024-01-07,家族,大阪前田乳ボーロ,卵ボーロ,お菓子,78,1,0,84
業務スーパー,2024-01-07,家族,まんぷくクラブ,ちびラーメン,お菓子,536,1,0,579
業務スーパー,2024-01-07,家族,食蕎麦,蕎麦,主食,250,1,50,216
業務スーパー,2024-01-07,家族,油揚げ,油揚げ,加工品,55,1,0,59
