場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2024-02-18,家族,ぶなしめじ,ぶなしめじ,野菜,88,1,8,86
イオン,2024-02-18,家族,BPTV食洗器洗剤,洗剤,その他,398,1,0,430
イオン,2024-02-18,家族,サンダル,サンダル,その他,500,1,0,540
ロイヤル,2024-02-18,家族,ラッキーアングルユニク¥,金具,その他,199,1,0,215
マック,2024-02-18,父,フィレオフィッシュ,ハンバーガー,外食,670,1,0,670
EXCELSIOR,2024-02-20,父,"コーヒーチケット3800,",珈琲,飲み物,3800,1,0,3800
LAWSON,2024-02-20,父,ヤキニク& バジルチキントルティーヤ,パン,主食,451,1,0,451
EXCELSIOR,2024-02-20,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-02-19,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
LAWSON,2024-02-19,父,ヤキニク& バジルチキントルティーヤ,パン,主食,451,1,0,451
LAWSON,2024-02-21,父,ヤキニク& バジルチキントルティーヤ,パン,主食,451,1,0,451
博多劇場,2024-02-21,父,烏龍茶,烏龍茶,外食,308,1,0,308
博多劇場,2024-02-21,父,バラ,バラ,外食,198,2,0,396
博多劇場,2024-02-21,父,きびなごの唐揚げ¥,唐揚げ,外食,495,1,0,495
博多劇場,2024-02-21,父,鉄鍋餃子2人前¥,餃子,外食,876,1,0,876
LAWSON,2024-02-22,父,助六寿司,寿司,外食,354,1,0,354
オーエスドラッグ,2024-02-23,家族,キレイキレイ薬用泡ハンド,石鹸,その他,358,2,0,716
オーエスドラッグ,2024-02-23,家族,ハトムギ化粧水500¥,化粧水,その他,298,1,0,298
オーエスドラッグ,2024-02-23,家族,立体マスク,マスク,その他,389,1,0,389
サンドラック,2024-02-23,家族,耳が痛くなりにくいチ60¥,マスク,その他,547,4,0,2188
サンドラック,2024-02-23,家族,CCエクストラクール¥,歯磨き粉,その他,107,1,0,107
業務スーパー,2024-02-23,家族,薄力小麦粉,小麦粉,お菓子,165,1,0,178
業務スーパー,2024-02-23,家族,群馬県産板こんに,こんにゃく,野菜,37,6,0,240
業務スーパー,2024-02-23,家族,ちょっと大きめのし,しらたき,野菜,195,1,0,211
業務スーパー,2024-02-23,家族,白かりんとう,かりんとう,お菓子,88,1,0,95
業務スーパー,2024-02-23,家族,まんぷくクラブ,ちびラーメン,お菓子,268,2,0,579
業務スーパー,2024-02-23,家族,業務用スライ,玉ねぎ,野菜,278,1,0,300
業務スーパー,2024-02-23,家族,生揚げ2枚入り,厚揚げ,加工品,78,1,16,67
業務スーパー,2024-02-23,家族,油揚げ,油揚げ,加工品,55,1,0,59
業務スーパー,2024-02-23,家族,もめん豆腐,豆腐,乳製品,38,1,0,41
業務スーパー,2024-02-23,家族,きぬ豆腐,豆腐,乳製品,38,1,0,41
業務スーパー,2024-02-23,家族,緑の小粒納豆,納豆,加工品,49,1,0,53
業務スーパー,2024-02-23,家族,納豆職人ひきわり納,納豆,加工品,68,1,0,73
業務スーパー,2024-02-23,家族,スライスたまねぎ,ねぎ,野菜,148,1,0,160
業務スーパー,2024-02-23,家族,さといも乱切り,さといも,野菜,268,1,0,289
イオン,2024-02-24,家族,マルちゃん正麺味噌P,ラーメン,主食,248,1,0,268
イオン,2024-02-24,家族,マルちゃん正麺旨塩P,ラーメン,主食,248,1,0,268
イオン,2024-02-24,家族,TVFFいかせんべい,せんべい,お菓子,100,1,0,108
イオン,2024-02-24,家族,ひねり揚げ,ひねり揚げ,お菓子,100,1,0,108
イオン,2024-02-24,家族,柿の種チョコ,チョコ,お菓子,100,1,0,108
イオン,2024-02-24,家族,トマトケチャップ,トマト,野菜,148,2,0,320
イオン,2024-02-24,家族,水菜,水菜,野菜,80,1,0,86
イオン,2024-02-24,家族,長ねぎ,ねぎ,野菜,98,1,0,106
イオン,2024-02-24,家族,たまねぎバラ,ねぎ,野菜,48,6,32,276
イオン,2024-02-25,家族,"ミニカップバニラ1,",カップ,アイス,158,7,0,1194
イオン,2024-02-25,家族,"HDミニストロベリー1,",カップ,アイス,158,7,0,1194
イオン,2024-02-25,家族,ミニカップグリー,カップ,アイス,158,4,0,683
イオン,2024-02-25,家族,細切りめかぶ,かぶ,野菜,198,1,60,149
イオン,2024-02-25,家族,ひじき,ひじき,惣菜,191,1,58,144
イオン,2024-02-25,家族,長崎ピーナッツ豆腐,豆腐,乳製品,298,1,0,322
イオン,2024-02-25,家族,ブロッコリー,ブロッコリー,野菜,198,1,0,214
イオン,2024-02-25,家族,はくさい,白菜,野菜,88,1,0,95
イオン,2024-02-25,家族,ほうれん草,ほうれん草,野菜,95,2,0,205
イオン,2024-02-25,家族,キャベツ(1玉),キャベツ,野菜,125,1,0,135
イオン,2024-02-25,家族,BPちくわ,ちくわ,加工品,98,1,0,106
イオン,2024-02-25,家族,ぶなしめじ,ぶなしめじ,野菜,78,1,0,84
イオン,2024-02-25,家族,BP国産小麦使用うどん,うどん,主食,78,2,0,168
イオン,2024-02-25,家族,からつき落花生(有機栽,落花生,お菓子,700,1,0,756
イオン,2024-02-25,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,2,0,406
イオン,2024-02-25,家族,ボイルいか,イカ,惣菜,295,1,89,222
イオン,2024-02-25,家族,白ねぎ,ねぎ,野菜,100,1,0,108
イオン,2024-02-25,家族,きはだまぐろ切落,まぐろ,魚類,497,1,150,375
イオン,2024-02-25,家族,きはだまぐろ切落,まぐろ,魚類,506,1,152,382
イオン,2024-02-25,家族,チャルメラバリカタ豚骨,豚,肉類,328,3,0,1063
イオン,2024-02-25,家族,"柿の種チョコ1,",チョコ,お菓子,100,10,0,1080
イオン,2024-02-25,家族,サイズミックス,卵,乳製品,148,2,0,320
イオン,2024-02-25,家族,タカナシ純生,生クリーム,お菓子,338,1,0,365
すき家,2024-02-25,家族,※544牛丼特盛弁当,牛,肉類,730,3,0,2190
イオン,2024-02-27,家族,"カルビのような油揚げ1,",油揚げ,加工品,258,4,544,527
STARBUCKS,2024-02-24,父,One More Coffee,珈琲,飲み物,119,1,0,119
STARBUCKS,2024-02-24,父,アンバターサンド,パン,主食,291,1,0,291
STARBUCKS,2024-02-24,父,One More Coffee,珈琲,飲み物,423,1,0,423
STARBUCKS,2024-02-24,父,もっちりあんボール さくら&抹茶,パン,主食,337,1,0,337
イオン,2024-02-27,家族,フルグラ750g,フルグラ,シリアル,698,1,35,716
イオン,2024-02-27,家族,フルグラチョコバナナ,フルグラ,シリアル,698,3,105,2148
ローゼン,2024-02-25,家族,ニッシンキャノーラアブラ,油,調味料,258,1,0,279
ローゼン,2024-02-25,家族,カルビーフルグラ,フルグラ,シリアル,498,1,0,538
ローゼン,2024-02-25,家族,ロッテチョコパイ,パイ,お菓子,198,1,0,214
ローゼン,2024-02-25,家族,ホッカイドウバター,バター,乳製品,398,1,0,430
ローゼン,2024-02-25,家族,ヤマザキチョコブール¥,チョコ,お菓子,128,1,64,69
ローゼン,2024-02-25,家族,キッコーマン醤油,醤油,調味料,158,1,0,171
LAWSON,2024-02-26,父,ヤキニク&バジルチキントルティーヤ,チキン,肉類,451,1,0,451
LAWSON,2024-02-28,父, ブラックサンダー,チョコ,お菓子,76,1,0,76
LAWSON,2024-02-28,父,助六寿司,寿司,主食,354,1,0,354
LAWSON,2024-02-29,父,助六寿司,寿司,主食,354,1,0,354
イオン,2024-02-29,家族,あんまん6コ入,あんまん,加工品,598,2,240,1032
イオン,2024-02-29,家族,柿の種チョコ,チョコ,お菓子,100,5,0,540
イオン,2024-02-29,父,ドライゼロ,ビール,飲み物,155,1,0,171
イオン,2024-02-29,父,ドライゼロ,ビール,飲み物,110,2,0,242
STARBUCKS,2024-03-01,父,1GOneMoreCoffee,珈琲,飲み物,119,1,0,119
Enejet,2024-03-02,家族,レギュラー,レギュラー,ガソリン,4002,1,0,4002
イオン,2024-03-03,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,2,0,406
イオン,2024-03-03,家族,BP極小粒納豆,納豆,加工品,58,2,0,125
イオン,2024-03-03,家族,BP国産小麦使用うどん,うどん,主食,98,1,0,106
イオン,2024-03-03,家族,波乗りジョニー3p,豆腐,乳製品,158,1,79,85
イオン,2024-03-03,家族,厚揚げ,厚揚げ,加工品,98,2,40,168
イオン,2024-03-03,家族,にんじん,人参,野菜,198,1,0,214
イオン,2024-03-03,家族,キャベツ1/,キャベツ,野菜,50,1,0,54
イオン,2024-03-03,家族,コマツナ,小松菜,野菜,98,1,0,106
イオン,2024-03-03,家族,カボチャ,かぼちゃ,野菜,100,1,0,108
イオン,2024-03-03,家族,BPちくわ,ちくわ,加工品,98,1,0,106
イオン,2024-03-03,家族,伊藤朝フレベーコン,ベーコン,肉類,248,1,0,268
イオン,2024-03-03,家族,鎌倉ベリーハム,ハム,肉類,398,1,199,215
イオン,2024-03-03,家族,北海道バター,バター,乳製品,438,1,0,473
イオン,2024-03-03,家族,BPおでん種セット,おでん,加工品,358,2,358,387
イオン,2024-03-03,家族,ミニトマト,トマト,野菜,198,1,0,214
イオン,2024-03-03,家族,大根,大根,野菜,100,1,0,108
イオン,2024-03-03,家族,レタス,パン,主食,98,1,0,106
イオン,2024-03-03,家族,きゅうり,きゅうり,野菜,48,2,0,104
イオン,2024-03-03,家族,サイズミックス,卵,乳製品,148,2,0,320
イオン,2024-03-03,家族,ごぼう,ごぼう,野菜,88,1,8,86
イオン,2024-03-03,家族,エリンギ,エリンギ,野菜,88,1,8,86
イオン,2024-03-03,家族,ぶなしめじ88*A,ぶなしめじ,野菜,88,1,8,86
イオン,2024-03-03,家族,ピーマン,ピーマン,野菜,88,1,8,86
イオン,2024-03-03,家族,まいたけ,舞茸,野菜,88,1,8,86
イオン,2024-03-03,家族,豚肉ロース,豚,肉類,647,1,65,629
イオン,2024-03-03,家族,手塩屋,せんべい,お菓子,98,2,0,212
イオン,2024-03-03,家族,関東コシ,米,主食,1580,2,0,3413
イオン,2024-03-03,家族,チョコチップ,チョコ,お菓子,128,2,0,276
イオン,2024-03-03,家族,森永マリー,ビスケット,お菓子,128,1,0,138
イオン,2024-03-03,家族,手作りスコーンくるみ,スコーン,お菓子,458,2,458,495
イオン,2024-03-03,家族,柿の種チョコ,チョコ,お菓子,100,4,0,432
イオン,2024-03-03,家族,アロエヨーグルト脂肪O,ヨーグルト,乳製品,158,1,79,85
イオン,2024-03-03,家族,脂肪O砂糖不使用,砂糖,調味料,158,1,79,85
イオン,2024-03-03,家族,パルテノプレーン加糖,ヨーグルト,乳製品,158,2,158,171
イオン,2024-03-03,家族,パリパリバー,パリパリバー,アイス,148,2,0,320
イオン,2024-03-03,家族,牛肉,牛,肉類,654,1,327,353
イオン,2024-03-03,家族,牛肉,牛,肉類,726,1,363,392
イオン,2024-03-03,家族,明治リッチチョコサン,チョコ,お菓子,128,1,0,138
イオン,2024-03-03,家族,明治リッチチョコSスト,チョコ,お菓子,128,2,0,276
イオン,2024-03-03,家族,タマネギ,ねぎ,野菜,298,1,0,322
イオン,2024-03-03,家族,骨太高たんぱくカフェ,ジュース,飲み物,158,1,79,85
イオン,2024-03-03,家族,じゃがいも,じゃがいも,野菜,198,1,0,214
イオン,2024-03-03,家族,きゅうり(袋),きゅうり,野菜,90,1,0,97
イオン,2024-03-03,家族,日本ハムシャウエッセン,ハム,肉類,298,2,0,644
イオン,2024-03-03,家族,白ねぎ,ねぎ,野菜,120,1,0,130
イオン,2024-03-03,家族,きゅうり,きゅうり,野菜,48,5,0,259
イオン,2024-03-03,家族,宗家キムチ辛口,キムチ,加工品,398,1,0,430
かつや,2024-03-02,家族,カツ丼(竹)¥,かつ丼,外食,759,1,0,759
かつや,2024-03-02,家族,とん汁(小)¥, 豚汁,外食,165,1,0,165
かつや,2024-03-02,家族,ダブルロースカツ定食,かつ丼,外食,1089,1,0,1089
かつや,2024-03-02,家族,おろしカツ定食¥,かつ丼,外食,935,1,0,935
かつや,2024-03-02,家族,おろしヒレカツ定食,かつ丼,外食,1067,1,0,1067
かつや,2024-03-02,家族,海老マヨとチキンカツの合盛丼¥,かつ丼,外食,869,1,0,869
LAWSON,2024-03-04,父,UC食感ロール生クリーム入り, プレミアムロール,お菓子,343,1,0,343
LAWSON,2024-03-04,父,ヤキニク&バジルチキントルティーヤ,チキン,肉類,451,1,0,451
LAWSON,2024-03-06,父,ツナとカニカマのサラダ巻,ご飯,主食,376,1,0,376
LAWSON,2024-03-06,父,UCモチ食感ロール生クリーム入り, プレミアムロール,お菓子,343,1,0,343
LAWSON,2024-03-06,父,Lmコウバシピーナッツチョコ,チョコ,お菓子,130,1,0,130
LAWSON,2024-03-07,父,助六寿司,寿司,主食,354,1,0,354
LAWSON,2024-03-07,父,UCどらもっちアンコ&ホイップ,どら焼き,お菓子,192,1,0,192
LAWSON,2024-03-07,父,モリナガラムネ,ラムネ,お菓子,90,1,0,90
LAWSON,2024-03-08,父,ヤキニク&バジルチキントルティーヤ,チキン,肉類,451,1,0,451
駐車場,2024-03-09,家族,駐車料金,駐車場,その他,600,1,0,600
ローゼン,2024-03-09,家族,"ブタニクロース1,",豚,肉類,1006,1,503,543
ローゼン,2024-03-09,家族,ブタニクロース,豚,肉類,989,1,495,534
ローゼン,2024-03-09,家族,大根,大根,野菜,158,1,0,171
ローゼン,2024-03-09,家族,ジャガイモフクロ,じゃがいも,野菜,108,1,0,117
ローゼン,2024-03-09,家族,なす・袋入,なす,野菜,198,1,0,214
ロイヤルホームセンター,2024-03-09,家族,グロウコンテナ30型G¥,部品,その他,649,1,0,649
ロイヤルホームセンター,2024-03-09,家族,グロウコンテナ30型B¥,部品,その他,649,1,0,649
イオン,2024-03-07,家族,ひねり揚げ,ひねり揚げ,お菓子,100,1,0,108
イオン,2024-03-07,家族,揚げせん,揚げせん,お菓子,100,1,0,108
イオン,2024-03-07,家族,あんまん6コ入,あんまん,加工品,598,1,120,516
イオン,2024-03-07,父,アサヒ食彩,ビール,飲み物,238,1,0,262
イオン,2024-03-07,父,SD生ジョッキ缶,ビール,飲み物,198,1,0,218
イオン,2024-03-09,家族,揚かま(平天),せんべい,お菓子,268,1,134,145
イオン,2024-03-09,家族,BP極小粒納豆,納豆,加工品,58,1,0,63
イオン,2024-03-09,家族,紀文枝豆とうふ,豆腐,乳製品,158,1,79,85
イオン,2024-03-09,家族,絹豆腐,豆腐,乳製品,63,2,64,67
イオン,2024-03-09,家族,ごぼうあられ,ごぼう,野菜,268,1,134,145
イオン,2024-03-09,家族,にんじん,人参,野菜,88,3,0,285
イオン,2024-03-09,家族,ブロッコリー,ブロッコリー,野菜,128,1,0,138
イオン,2024-03-09,家族,はくさい,白菜,野菜,40,1,0,43
イオン,2024-03-09,家族,ブタニクカタマリ,豚,肉類,191,1,0,206
イオン,2024-03-09,家族,ブタニクカタマリ,豚,肉類,173,1,0,187
イオン,2024-03-09,家族,コーンフレーク,コーンフレーク,シリアル,198,4,160,683
イオン,2024-03-09,家族,かつおパック,かつお,魚類,355,1,71,307
イオン,2024-03-09,家族,和彩々片栗粉(加工澱,栗,お菓子,118,1,24,102
イオン,2024-03-09,家族,にんじん,人参,野菜,88,2,0,190
イオン,2024-03-09,家族,エノキタケ,榎茸,野菜,98,1,0,106
イオン,2024-03-09,家族,TVBPのり茶漬け,のり,加工品,148,2,0,320
イオン,2024-03-09,家族,TVBPはるさめ,春雨,野菜,188,1,38,162
イオン,2024-03-09,家族,BP極小粒納豆,納豆,加工品,58,2,0,125
イオン,2024-03-09,家族,イエロー50P,紅茶,飲み物,428,1,86,369
イオン,2024-03-09,家族,QPマヨネーズ,マヨネーズ,調味料,238,2,0,514
イオン,2024-03-09,家族,サトウの切り餅,餅,主食,328,1,0,354
イオン,2024-03-09,家族,ほうとう,ほうとう,主食,358,1,108,270
イオン,2024-03-09,家族,BP国産小麦使用うどん,うどん,主食,98,1,0,106
イオン,2024-03-09,家族,川光十勝きな粉C付,きな粉,乾物,168,1,34,145
イオン,2024-03-09,家族,深蒸し緑茶,緑茶,飲み物,498,1,100,430
イオン,2024-03-09,家族,柿の種チョコ,チョコ,お菓子,100,5,0,540
イオン,2024-03-09,家族,コマツナ,小松菜,野菜,98,1,0,106
イオン,2024-03-09,家族,亀田のカレーせん,カレー,調味料,98,1,0,106
ダイソー,2024-03-10,家族,名刺ホルダー120ポケッ¥, 名刺ホルダー,その他,100,1,0,108
イオン,2024-03-10,家族,M追いがつおつゆ,つゆ,調味料,168,2,0,363
イオン,2024-03-10,家族,コーンフレーク,コーンフレーク,シリアル,198,2,80,341
イオン,2024-03-10,家族,きみは半熟,卵,乳製品,218,1,109,118
イオン,2024-03-10,家族,ホットケーキミックス,ケーキ,お菓子,238,1,48,205
イオン,2024-03-10,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,2,0,406
イオン,2024-03-10,家族,キャベツ(1玉),キャベツ,野菜,138,1,0,149
イオン,2024-03-10,家族,タマネギ,ねぎ,野菜,298,1,0,322
イオン,2024-03-10,家族,エリンギ,エリンギ,野菜,58,2,0,125
イオン,2024-03-10,家族,スナップえんどう,スナップエンドウ,野菜,200,1,0,216
イオン,2024-03-10,家族,マルちゃん焼そば,焼きそば,主食,98,2,0,212
イオン,2024-03-10,家族,"太陽海鮮茶碗蒸し1,",茶碗蒸し,加工品,318,4,636,687
イオン,2024-03-10,家族,ジーマーミとうふ,豆腐,乳製品,188,3,114,486
イオン,2024-03-10,家族,とろける生とうふ,豆腐,乳製品,198,1,99,107
イオン,2024-03-10,家族,鉄板焼きしそ巻,しそ巻き,惣菜,318,1,159,172
イオン,2024-03-10,家族,グリーンレタス,レタス,野菜,80,1,0,86
イオン,2024-03-10,家族,ほうれん草,ほうれん草,野菜,148,1,0,160
イオン,2024-03-10,家族,いちご,いちご,果物,380,1,0,410
イオン,2024-03-10,家族,ミックスサイズ,卵,乳製品,444,1,0,480
イオン,2024-03-10,家族,ホットケーキミックス,ホットケーキ,お菓子,238,2,96,410
イオン,2024-03-11,家族,"大沼牛焼肉用万盛合せ4,",牛,肉類,1080,4,2160,2333
イオン,2024-03-11,家族,挽肉,挽肉,肉類,223,1,112,120
イオン,2024-03-11,家族,挽肉,挽肉,肉類,233,1,117,125
イオン,2024-03-11,家族,牛すじ,牛,肉類,447,1,224,241
イオン,2024-03-11,家族,牛肉,牛,肉類,344,1,172,186
イオン,2024-03-11,家族,牛肉,牛,肉類,310,1,155,167
イオン,2024-03-11,家族,牛肉,牛,肉類,318,1,159,172
イオン,2024-03-11,家族,#82姫牛,牛,肉類,393,1,197,212
イオン,2024-03-11,家族,牛心(豪州産),牛,肉類,376,1,188,203
イオン,2024-03-11,家族,牛肉,牛,肉類,354,1,177,191
イオン,2024-03-11,家族,牛肉,牛,肉類,352,1,176,190
LAWSON,2024-03-13,父,ギュウヤキニク&ハムポテトトルティーヤ,トルティーヤ,主食,451,1,0,451
EXCELSIOR,2024-03-13,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
LAWSON,2024-03-14,父,ギュウヤキニク&ハムポテトトルティーヤ,トルティーヤ,主食,451,1,0,451
EXCELSIOR,2024-03-14,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
LAWSON,2024-03-15,父,ギュウヤキニク&ハムポテトトルティーヤ,トルティーヤ,主食,451,1,0,451
EXCELSIOR,2024-03-15,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
イオン,2024-03-14,家族,牛すじ(豪州産)253**,牛,肉類,253,1,127,136
イオン,2024-03-14,家族,純米軍鶏鳥,鶏,肉類,455,1,228,245
イオン,2024-03-14,家族,純米軍鶏鳥,鶏,肉類,416,1,208,225
イオン,2024-03-14,家族,あんまん6コ入,あんまん,加工品,598,1,120,516
HAC,2024-03-15,父, STセレモン350ml,酒,飲み物,108,1,0,119
HAC,2024-03-15,父,BPバーリアルグラン350¥,酒,飲み物,100,1,0,110
イオン,2024-03-16,家族,パキシエル5本,パキシエル,アイス,198,1,0,214
イオン,2024-03-16,家族,稲庭風細うどん,うどん,主食,88,3,0,285
イオン,2024-03-16,家族,手作りスコーンプレーン,スコーン,お菓子,458,2,458,495
イオン,2024-03-16,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,1,0,203
イオン,2024-03-16,家族,手作りスコーンレーズン,スコーン,お菓子,458,1,229,247
イオン,2024-03-16,家族,ぶなしめじ,ぶなしめじ,野菜,68,2,0,147
イオン,2024-03-16,家族,伊藤アルトバイエルン,ソーセージ,肉類,358,2,0,773
イオン,2024-03-16,家族,クラフトパルメ,チーズ,調味料,458,1,92,395
イオン,2024-03-16,家族,餃子の皮,餃子,加工品,190,1,0,205
バーミヤン,2024-03-16,家族,野菜タンメン,坦々麺,外食,769,1,0,769
バーミヤン,2024-03-16,家族,半チャーハン,チャーハン,外食,319,1,0,319
バーミヤン,2024-03-16,家族,サバと唐揚げ,唐揚げ,外食,659,1,22,637
バーミヤン,2024-03-16,家族,レタスチャーハン,チャーハン,外食,659,1,0,659
バーミヤン,2024-03-16,家族,キャベツ中華サラダ,サラダ,外食,439,1,0,439
バーミヤン,2024-03-16,家族,ダブル餃子,餃子,外食,549,1,0,549
イオン,2024-03-17,家族,チョコパイパーティー,パイ,お菓子,188,2,0,406
イオン,2024-03-17,家族,柿の種チョコ,チョコ,お菓子,100,5,0,540
イオン,2024-03-17,家族,BP極小粒納豆,納豆,加工品,58,2,0,125
イオン,2024-03-17,家族,絹厚揚げ,厚揚げ,加工品,98,1,0,106
イオン,2024-03-17,家族,大根,大根,野菜,120,2,0,259
イオン,2024-03-17,家族,レタス,パン,主食,98,1,0,106
イオン,2024-03-17,家族,南三陸きざみめかぶ,かぶ,野菜,198,1,60,149
イオン,2024-03-17,家族,スナップエンドウ,スナップエンドウ,野菜,248,1,124,134
イオン,2024-03-17,家族,ほうれん草,ほうれん草,野菜,120,1,0,130
イオン,2024-03-17,家族,きゅうり,きゅうり,野菜,120,2,0,259
イオン,2024-03-17,家族,サイズミックス,卵,乳製品,148,2,0,320
イオン,2024-03-17,家族,ピーマン176*A,ピーマン,野菜,88,2,16,173
イオン,2024-03-17,家族,生椎茸(菌床)使い切り,椎茸,野菜,88,1,8,86
イオン,2024-03-17,家族,エリンギ,エリンギ,野菜,88,2,16,173
イオン,2024-03-17,家族,牛乳,牛乳,乳製品,188,2,0,406
HAC,2024-03-17,家族,シンプルバランスうるおい,化粧水,その他,498,1,50,484
Enejet,2024-03-10,家族,洗車,洗車,洗車,800,1,100,700
Enejet,2024-03-16,家族,レギュラー,レギュラー,ガソリン,3160,1,0,3160
EXCELSIOR,2024-03-19,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-21,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-22,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-25,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-26,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-27,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-28,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-03-29,父,R・ブレンド¥,珈琲,飲み物,380,1,0,380
LAWSON,2024-03-25,父,ギュウヤキニク&ハムポテトトルティーヤ,トルティーヤ,主食,451,1,0,451
LAWSON,2024-03-26,父,ギュウヤキニク&ハムポテトトルティーヤ,トルティーヤ,主食,451,1,0,451
QB,2024-03-28,父,カット代.,髪切り,その他,1350,1,0,1350
LAWSON,2024-03-23,父,バニラモナカジャンボ150ml,モナカ,アイス,173,1,0,173
HAC,2024-03-20,家族,34クラシセッケンバスソープ3P¥,石鹸,その他,288,1,0,311
イオン,2024-03-24,家族,パルムチョコ,チョコ,お菓子,348,2,0,752
イオン,2024-03-24,家族,X個2(にんじん496X単,人参,野菜,248,2,0,536
イオン,2024-03-24,家族,味M黄金の味甘口268Xぽん360158タマネギ,ねぎ,野菜,268,1,0,289
イオン,2024-03-24,家族,大根,大根,野菜,248,1,0,268
イオン,2024-03-24,家族,エノキタケ,榎茸,野菜,98,1,0,106
イオン,2024-03-24,家族,ぶなしめじ,ぶなしめじ,野菜,68,2,0,147
イオン,2024-03-24,家族,ブロッコリー,ブロッコリー,野菜,158,1,0,171
イオン,2024-03-24,家族,BP極小粒納豆,納豆,加工品,58,3,0,188
イオン,2024-03-24,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,2,0,406
イオン,2024-03-24,家族,ムーンライト,ビスケット,お菓子,128,1,0,138
イオン,2024-03-24,家族,森永チョイス,クッキー,お菓子,128,1,0,138
イオン,2024-03-24,家族,新生活しんたまご,卵,乳製品,238,1,119,129
イオン,2024-03-24,家族,食菜卵,卵,乳製品,238,1,119,129
イオン,2024-03-24,家族,作り手のたまご白,卵,乳製品,238,1,0,257
イオン,2024-03-24,家族,レッドバタビア,レタス,野菜,80,1,0,86
イオン,2024-03-24,家族,ねぎ塩だれキャベツ潰,キャベツ,野菜,218,1,109,118
イオン,2024-03-24,家族,BP豆腐,豆腐,乳製品,78,1,0,84
イオン,2024-03-24,家族,朝焚き白花甘納豆,納豆,加工品,250,1,0,270
イオン,2024-03-24,家族,菓子,菓子,お菓子,80,1,0,86
イオン,2024-03-24,家族,朝焚き小豆甘納豆,納豆,加工品,250,1,0,270
イオン,2024-03-24,家族,ふわもち食感のパンケー,パン,主食,198,1,99,107
イオン,2024-03-24,家族,TVBPおろしわさ,わさび,調味料,98,1,0,106
イオン,2024-03-24,家族,M味,ポン酢,調味料,158,1,0,171
イオン,2024-03-24,家族,タマネギ,玉ねぎ,野菜,298,1,0,322
イオン,2024-03-20,家族,BOXあずきバー,あずきバー,アイス,248,2,26,508
イオン,2024-03-20,家族,小籠包,小籠包,惣菜,700,1,368,359
イオン,2024-03-20,家族,CSプリン,プリン,デザート,118,2,124,121
イオン,2024-03-20,家族,ヨーグルトコクなま,ヨーグルト,乳製品,128,1,68,65
イオン,2024-03-20,家族,GSPリッチブレンド,珈琲豆,飲み物,398,2,40,816
イオン,2024-03-20,家族,ミニトマト,トマト,野菜,150,1,8,153
イオン,2024-03-20,家族,稲庭風細うどん,うどん,主食,78,4,16,320
イオン,2024-03-20,家族,坦々麺,坦々麺,主食,120,1,6,123
イオン,2024-03-20,家族,じゃがいも,じゃがいも,野菜,120,1,6,123
イオン,2024-03-20,家族,ブロッコリー,ブロッコリー,野菜,120,1,6,123
イオン,2024-03-20,家族,なかよしパック,卵,乳製品,158,1,8,162
イオン,2024-03-20,家族,BPはんぺん,はんぺん,加工品,108,1,37,77
イオン,2024-03-20,家族,ほうれん草,ほうれん草,野菜,80,1,4,82
イオン,2024-03-20,家族,洛市小松菜,小松菜,野菜,100,1,5,103
イオン,2024-03-23,家族,BPもっちり仕込み,パン,主食,138,2,138,149
イオン,2024-03-23,家族,ムギおさつのカンパー,パン,主食,328,1,164,177
イオン,2024-03-23,家族,BPもっちり仕込み全粒,パン,主食,198,1,99,107
イオン,2024-03-23,家族,とんがらし麺ヤンニョム,カップ麺,レトルト食品,80,1,0,86
イオン,2024-03-23,家族,セロリ,セロリ,野菜,100,1,0,108
イオン,2024-03-23,家族,ミズナ,水菜,野菜,50,2,0,108
イオン,2024-03-23,家族,スティックショコラケー,チョコ,お菓子,118,1,59,64
イオン,2024-03-23,家族,トリモモニク,鶏,肉類,212,1,0,229
イオン,2024-03-23,家族,豚切りおとし国産,豚,肉類,406,1,82,350
イオン,2024-03-23,家族,豚切りおとし国産,豚,肉類,390,1,78,337
イオン,2024-03-23,家族,"牛豚BBQ用焼肉セット3,",豚,肉類,1580,2,632,2730
イオン,2024-03-23,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,1,0,203
